amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance,gene
AMPL244736,True,0.0004952310068048615,0.617770798201546,-6.917339043283214,1.0,pearson,156.9028909784959,5135.763458801004,SMAD2
AMPL244737,True,0.00031022282811019557,0.7508112368273452,-7.385072537782914,1.0,pearson,158.7361490979232,6334.739703206293,SMAD2
AMPL244738,True,0.0002570794455047864,0.8904097858715191,-7.572978213801086,1.0,pearson,158.63746361284615,6348.548726627311,SMAD2
AMPL244739,True,0.0005206756499252322,0.5113004510281892,-6.867236082444118,1.0,pearson,157.54661590745476,4102.514954857961,SMAD2
AMPL244740,True,0.00014118650570219912,1.0997109168731896,-8.172281625593474,1.0,pearson,165.17988480779292,8146.702929511483,SMAD2
AMPL244741,True,0.0017153250334670572,0.5349378257634778,-5.675005511874175,1.0,pearson,142.57599627490623,2312.3614820805383,SMAD2
AMPL244809,True,1.5309247036356156e-05,10.152507776242496,-10.393906350109672,1.0,pearson,353.8788773842681,33367.13382954419,ACVR2A
AMPL244810,True,0.0005197236250682294,0.6004039520662822,-6.869066197373271,1.0,pearson,155.5783909012971,5164.315999331579,ACVR2A
AMPL244812,True,0.00017606039784780073,0.23569920149369236,-7.951536271645616,1.0,pearson,162.70513036837332,3654.952220389327,ACVR2A
AMPL244813,True,0.00026840214264964394,0.42396840920425494,-7.529876989292303,1.0,pearson,160.2559466705605,4599.467401786281,ACVR2A
AMPL244815,True,0.0006610008762227782,0.5080301382923097,-6.628608211951739,1.0,pearson,155.52286556453075,4508.577365294815,ACVR2A
AMPL244816,True,0.0005683569663206773,1.0930774127250535,-6.779613694250435,1.0,pearson,144.81047102745865,6439.247734001178,ACVR2A
AMPL244817,True,0.0003014338392097359,0.9309152801941915,-7.413812824090978,1.0,pearson,155.8771886021965,6606.042769424617,ACVR2A
AMPL244818,True,0.00016209083983903736,0.8027562278772101,-8.034206459580586,1.0,pearson,162.4583744170531,6250.913601612886,ACVR2A
AMPL244819,True,0.0007716823838893266,0.3698347784989225,-6.473790331868391,1.0,pearson,158.93442281996232,3600.4909161361657,ACVR2A
AMPL244822,True,0.0006015238433547455,0.8055008911754142,-6.722897202950219,1.0,pearson,151.38205974344064,5264.5274750845765,BMPR2
