amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance
AMPL166269,True,0.0004656253036791,0.5425323102995018,-6.978982136073845,1.0,pearson,210.0063224104104,13434.923127061804
AMPL115555,True,0.0006396664099719,0.5208303745983869,-6.661416571359324,1.0,pearson,205.65444872506748,11083.504138318878
AMPL250279,True,0.0008535707920282,0.5107735001078793,-6.372934895401115,1.0,pearson,200.08776342191425,8788.951611952534
AMPL250280,True,0.0016082942344561,0.3142892670111574,-5.739433962777575,1.0,pearson,193.30575328614916,5088.48099298206
AMPL253375,True,0.000437099181942,0.550636348967716,-7.0422032470948,1.0,pearson,211.93029301517583,14076.066722627702
AMPL250282,True,0.0007176417227596,0.5636692187257227,-6.546392926265691,1.0,pearson,203.41440485321883,10829.159762891197
AMPL257608,True,0.0004192665225528,0.4702091232339308,-7.0838565676913055,1.0,pearson,211.54760026351696,11685.677576932376
AMPL257918,True,0.0004802127659052,1.5469255870264036,-6.948134109411482,1.0,pearson,174.82655472188716,9620.948084281132
AMPL253379,True,0.0008050178417901,1.0171445796714462,-6.431498936516961,1.0,pearson,181.9134241363083,8488.161917538348
AMPL248841,True,0.0001222674194339,2.097653923501968,-8.316152768942773,1.0,pearson,235.27019034239132,26633.41529562059
AMPL250283,True,4.078634906058409e-05,6.428047213891515,-9.414015933827637,1.0,pearson,289.3095089461599,47309.3876093818
AMPL251179,True,4.073967472351524e-05,2.3489924812049163,-9.415160950841882,1.0,pearson,278.9993118010055,30567.77854608421
AMPL250284,True,0.0008176842460413,0.3089671248580652,-6.415887122606035,1.0,pearson,210.33429791504736,9102.35064682311
AMPL250285,True,0.0002623001143801,0.6364947402801984,-7.552874054465442,1.0,pearson,217.5310428476999,18323.82715034081
AMPL257609,True,0.0009477667471764,0.5239628158332418,-6.268254952706156,1.0,pearson,197.4653298759845,8679.361270216268
AMPL248842,True,0.0010122141621181,0.3811474156896156,-6.202467927299392,1.0,pearson,204.22136103779533,8807.497444347302
AMPL248843,True,0.0012585484529703,0.3183897217154094,-5.984649062997719,1.0,pearson,202.58624045901985,8098.21583269441
AMPL248844,True,0.0031618558535912,0.3739675560797052,-5.063448947773579,1.0,pearson,152.5301623181561,1774.9883187092084
AMPL248845,True,0.0014041652100796,0.2771158684977429,-5.8751651287443405,1.0,pearson,201.89364002467863,7243.051326486787
AMPL253390,True,0.0005896996480518,0.4534422100369352,-6.742750041223869,1.0,pearson,209.85576471003225,12051.918116798175
AMPL221874,True,8.57752045465096e-05,1.0414980774177205,-8.670633403975867,1.0,pearson,236.6893365436092,20556.19881107077
AMPL250288,True,0.0011097269364099,0.582218228390964,-6.110494116595965,1.0,pearson,193.3411283013195,7722.207488245643
AMPL257611,True,0.0005326211908688,0.4759914198355501,-6.844552917228995,1.0,pearson,209.25552147533736,11925.85574848787
AMPL251185,True,0.0006617489649299,0.5101141566307358,-6.62747710043894,1.0,pearson,204.76307536983663,10894.31449826858
AMPL251186,True,0.000653792353702,0.8276484281691869,-6.639573578346207,1.0,pearson,193.23054608034707,10329.75279316948
AMPL257612,True,0.0001928617388524,2.011201020947144,-7.860389824224303,1.0,pearson,212.19428754320148,22387.472744123024
AMPL257613,True,0.0018808551225387,0.3789339665947004,-5.582881572580082,1.0,pearson,183.1953238400608,4762.938347995978
AMPL177184,True,2.1615788883082125e-05,29.652210896584805,-10.048939362930971,1.0,pearson,475.033804343814,198269.6373418726
AMPL250290,True,0.0001969986771746,0.8373081599750175,-7.8391663635383,1.0,pearson,220.2789916327096,18772.80411887166
AMPL257614,True,0.0010271665936814,0.4090102514195793,-6.187803966725067,1.0,pearson,201.69653990849145,8549.222847758994
AMPL253401,True,0.0013675856369107,0.3496832540422399,-5.90156122209945,1.0,pearson,198.71325841960072,7428.64419413317
AMPL248849,True,0.0003281465437579,0.6442662430100718,-7.328903089046825,1.0,pearson,214.45431460594693,15901.05620550863
AMPL119983,True,0.000547312729176,0.4600788376682577,-6.817343021392233,1.0,pearson,212.4072333630032,13213.054919999531
AMPL250291,True,0.0002029195702819,0.69168162094882,-7.809553682380355,1.0,pearson,219.78996379142424,17134.978570182582
AMPL253405,True,0.0011206515347646,0.5893284387411479,-6.100697854784545,1.0,pearson,185.0977927576413,5558.048169486884
AMPL253406,True,0.0022787419271409,0.3773572611052063,-5.390984594087641,1.0,pearson,171.82273838878533,3110.9572506076715
AMPL251192,True,0.0006181530602969,0.5614033665634777,-6.6956272802285,1.0,pearson,205.2407934561205,11497.294984597796
AMPL151964,True,0.0006672301042895,0.5075992084543755,-6.61922840703965,1.0,pearson,208.3477187994108,12257.08788303613
AMPL250293,True,0.0004261488086222,0.6229513950062691,-7.0675747761169205,1.0,pearson,207.48590365849785,13766.490425009102
AMPL250294,True,0.0001527906778309,0.8886174745943086,-8.093294511492664,1.0,pearson,220.2731704788518,19188.477963328463
AMPL253411,True,0.001478010154315,0.4320617848266813,-5.823911405611867,1.0,pearson,188.5150821357189,5851.729536245131
AMPL253412,True,0.0001388328068917,0.7425637477906786,-8.189092996368839,1.0,pearson,224.1076778092614,18683.09799379696
AMPL250295,True,0.0005547803635366,0.6823615702524076,-6.8037910833596085,1.0,pearson,204.8186886660517,12485.29531745142
AMPL257617,True,0.0012272430296103,0.484628348373979,-6.009837884164201,1.0,pearson,190.7376955619668,6486.469821752333
AMPL250296,True,0.0006015348686541,0.7731653055598983,-6.722878874169861,1.0,pearson,199.26399597339065,11752.602688087
AMPL250297,True,0.0004900759952909,0.5060665495682871,-6.927802905894828,1.0,pearson,212.5256580755821,14054.89601670762
AMPL113442,True,0.0006351869091089,0.5745460320718937,-6.668444076769147,1.0,pearson,205.76913980526015,12040.7329301088
AMPL257618,True,0.000605497623505,0.5420000332395464,-6.716312739265999,1.0,pearson,209.1042421410952,13379.73223611178
AMPL250298,True,0.00171662521444,0.4151527447118382,-5.674247819634337,1.0,pearson,182.51968163161408,4319.930294251478
AMPL253420,True,0.0007514626609411,0.4025209184994289,-6.500341855485421,1.0,pearson,205.15136490250345,8548.434941100919
AMPL248866,True,0.0021992249355407,0.3109980059943673,-5.426503102157812,1.0,pearson,180.09073225857128,3544.86454706496
AMPL253422,True,0.0006867017612885,0.3263386429878785,-6.590463296922192,1.0,pearson,213.84974060462025,11005.464905475465
AMPL257621,True,0.0025005096720911,0.3283776976765369,-5.298113518490022,1.0,pearson,172.395152314074,2896.3332103094244
AMPL122652,True,0.0019525012613204,0.1395109892460163,-5.545496849687883,1.0,pearson,205.24016671797105,6011.556801369456
AMPL253425,True,0.0019165833818626,0.3054745652270506,-5.564063986166383,1.0,pearson,185.653503037741,3808.2025135562935
AMPL165609,True,0.0021866643801242,0.2460898990974363,-5.432230829809756,1.0,pearson,186.85343259185063,3611.926469566377
AMPL226340,True,7.221201887675624e-05,0.9123252869831044,-8.842756878922481,1.0,pearson,216.11112643647309,12010.37146379483
AMPL257623,True,0.0008800211273568,0.4917788798837237,-6.342417461860188,1.0,pearson,201.16446582644295,9748.438474823137
AMPL251202,True,0.0004393213148193,0.4317707766122218,-7.037132307637516,1.0,pearson,215.1549875846017,14018.898942290029
AMPL251203,True,0.000697178883397,0.4294268416036272,-6.575321351943697,1.0,pearson,208.4263755611563,10696.935566930304
AMPL250300,True,8.978454088745715e-06,4.976435818785348,-10.927535660383564,1.0,pearson,436.7497846853107,61030.27989929992
AMPL257624,True,0.0005239550714784,0.684993011586549,-6.860957438212585,1.0,pearson,204.57811234169824,13223.091735020646
AMPL160274,True,0.0002593879218324,1.5816914125971446,-7.5640386685473855,1.0,pearson,190.8617598011053,14297.14442334661
AMPL160275,True,0.0019918971758321,0.4283194028393757,-5.525520559150207,1.0,pearson,174.4507243015664,3666.271387485311
AMPL250301,True,0.0002069112168827,1.2596703014453898,-7.790073580092822,1.0,pearson,212.2223992544641,19580.311937000617
AMPL11982,True,0.0019152599148601,0.5170191326143788,-5.564754759223968,1.0,pearson,170.04645052943866,4098.157952265067
AMPL251207,True,0.0015577347952824,0.5290329331003611,-5.771375386719386,1.0,pearson,179.12985005417912,4969.091001418244
AMPL257628,True,0.0024082333695448,0.3439982125751855,-5.335714661408682,1.0,pearson,173.4167228086409,3177.206984477431
AMPL257629,True,0.0003876401999872,0.66536317453635,-7.162285787628303,1.0,pearson,209.0468002231001,13759.18112507269
AMPL257630,True,0.0002202967611295,0.7473883064418747,-7.727387825794085,1.0,pearson,215.4506535550053,17663.56633085664
AMPL250304,True,0.0004853681592953,0.5616644200520022,-6.937455683100336,1.0,pearson,207.81777031929224,12114.065096643004
