amplicon_number,ado_rate
AMPL253761,0.118351448
AMPL43318,0.043762624
AMPL253763,0.115946908
AMPL253764,0.087477157
AMPL253765,0.136866404
AMPL253766,0.054342599
AMPL250429,0.086274887
AMPL253768,0.022314129
AMPL257733,0.019140137
AMPL251370,0.125372704
AMPL250431,0.222083293
AMPL249062,0.013609695
AMPL253773,0.014379148
AMPL181095,0.025440031
AMPL257734,0.028662114
AMPL250434,0.030393383
AMPL250435,0.330624219
AMPL251376,0.246705781
