amplicon_number,ado_rate,gene_name
AMPL251314,0.02659421,EME1-2
AMPL251315,0.003847264,RNF43-1
AMPL251316,0.004905261,RNF43-2
AMPL253672,0.29200731,RNF43-3
AMPL253673,0.895113975,RNF43-4
AMPL253674,0.005049534,RNF43-5
AMPL250381,0.027027027,RNF43-6
AMPL249606,0.003751082,RNF43-7
AMPL249000,0.006684621,RNF43-8
AMPL257699,0.035971915,RNF43-9
AMPL253679,0.0078388,RNF43-10
AMPL249003,0.012840242,AXIN2-1
AMPL253681,0.162258344,AXIN2-2
AMPL250383,0.032413196,RECQL5-1
AMPL257559,0.048812157,GATA6-1
AMPL257560,0.456670193,GATA6-2
AMPL257561,0.459363278,GATA6-3
AMPL167407,0.01510051,GATA6-4
AMPL167408,0.008752525,GATA6-5
AMPL167409,0.003943445,GATA6-6
AMPL244732,0.151389824,SMAD2-1
AMPL254272,0.019861499,SMAD2-2
AMPL84671,0.017937867,SMAD2-3
AMPL84512,0.009810522,SMAD2-4
AMPL244736,0.009570068,SMAD2-5
AMPL244737,0.030537655,SMAD2-6
AMPL244738,0.010724247,SMAD2-7
AMPL244739,0.004087718,SMAD2-8
AMPL244740,0.037318457,SMAD2-9
AMPL244741,0.004664807,SMAD2-10
AMPL253689,0.198663076,SMAD7-1
AMPL253690,0.049533519,SMAD7-2
AMPL253691,0.81985188,SMAD7-3
AMPL44652,0.0193325,SMAD4-1
AMPL44653,0.004376262,SMAD4-2
AMPL44654,0.004328172,SMAD4-3
AMPL44655,0.055689141,SMAD4-4
AMPL138094,0.00302972,SMAD4-5
AMPL138095,0.003318265,SMAD4-6
AMPL138096,0.014763874,SMAD4-7
AMPL138097,0.005818986,SMAD4-8
AMPL44659,0.103683755,SMAD4-9
AMPL138099,0.010339521,SMAD4-10
AMPL146646,0.006347985,SMAD4-11
AMPL253703,0.990429932,STK11-1
AMPL249649,0.093440416,STK11-2
AMPL146649,0.220881023,STK11-3
AMPL250389,0.038616909,PTPRS-1
AMPL250391,0.987544484,PTPRS-2
AMPL250393,0.010531884,XAB2-1
AMPL257708,0.035923824,DNMT1-1
AMPL253710,0.005818986,SMARCA4-1
AMPL117734,0.00908916,SMARCA4-2
AMPL253712,0.0114937,SMARCA4-3
AMPL250394,0.018899683,NOTCH3-1
AMPL250395,0.008175435,BRD4-1
AMPL251331,0.019524863,KMT2B-1
AMPL250396,0.098393767,KMT2B-2
AMPL250397,0.571511013,KMT2B-3
AMPL253718,0.00485717,AKT2-1
AMPL251334,0.008367798,AXL-1
AMPL250399,0.011108974,ARHGAP35-1
AMPL249040,0.006828893,ARHGAP35-2
AMPL253722,0.005722805,ARHGAP35-3
AMPL257713,0.690680004,ARHGAP35-4
AMPL257714,0.003991536,POLD1-1
AMPL242511,0.037703184,POLD1-2
AMPL242512,0.026161393,POLD1-3
AMPL176028,0.121236895,CDC25B-1
AMPL250404,0.006444167,PAK7-1
AMPL250405,0.016495143,PAK7-2
AMPL249045,0.039530634,DNMT3B-1
AMPL257717,0.011974608,DNMT3B-2
AMPL257718,0.003702991,DNMT3B-3
AMPL146662,0.046648072,SRC-1
AMPL250407,0.157978263,PLCG1-1
AMPL250408,0.0653073,PTPRT-1
AMPL250409,0.073001827,PTPRT-2
AMPL251348,0.006540348,PTPRT-3
AMPL250410,0.03024911,PTPRT-4
AMPL250411,0.002837357,NCOA3-1
AMPL250412,0.017312686,NCOA3-2
AMPL257719,0.012647879,NFATC2-1
AMPL251353,0.15961335,NFATC2-2
AMPL250413,0.018899683,AURKA-1
AMPL257721,0.017024142,AURKA-2
AMPL233967,0.038616909,GNAS-1
AMPL253746,0.301336924,GNAS-2
AMPL250415,0.136241223,GNAS-3
AMPL253748,0.017120323,GNAS-4
AMPL257723,0.008367798,RTEL1-1
AMPL257724,0.004039627,SCAF4-1
AMPL250418,0.005530441,CRKL-1
AMPL250419,0.013609695,CHEK2-1
AMPL250420,0.922573819,MYH9-1
AMPL253754,0.006107531,EP300-1
AMPL249051,0.00788689,EP300-2
AMPL113384,0.155429451,EP300-3
AMPL251363,0.003270174,XRCC6-1
AMPL250422,0.437578148,PLXNB2-1
AMPL166074,0.028806386,DDX3X-1
AMPL171265,0.061219583,KDM6A-1
AMPL253761,0.118351448,KDM6A-2
AMPL43318,0.043762624,KDM6A-3
AMPL253763,0.115946908,RBM10-1
AMPL253764,0.087477157,RBM10-2
AMPL253765,0.136866404,RBM10-3
AMPL253766,0.054342599,RBM10-4
AMPL250429,0.086274887,ARAF-1
AMPL253768,0.022314129,ELK1-1
AMPL257733,0.019140137,KDM5C-1
AMPL251370,0.125372704,HUWE1-1
AMPL250431,0.222083293,MED12-1
AMPL249062,0.013609695,MED12-2
AMPL253773,0.014379148,MED12-3
AMPL181095,0.025440031,ATRX-1
AMPL257734,0.028662114,SMARCA1-1
AMPL250434,0.030393383,RBMX-1
AMPL250435,0.330624219,FLNA-1
AMPL251376,0.246705781,BRCC3-1
